noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date,text
"0014 - Senior managers - health, education, social and community services and membership organizations",,Newfoundland and Labrador,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,22.35,41.9,81.91,47.52,2016 Census,2016,2022-11-16,<b>Max wage: </b>81.91<br><b>Median wage: </b>41.9<br><b>Min wage: </b>22.35<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Newfoundland and Labrador,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,25.23,47.38,81.75,51.24,2016 Census,2016,2022-11-16,<b>Max wage: </b>81.75<br><b>Median wage: </b>47.38<br><b>Min wage: </b>25.23<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Nova Scotia,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,21.65,41.96,86.42,47.56,2016 Census,2016,2022-11-16,<b>Max wage: </b>86.42<br><b>Median wage: </b>41.96<br><b>Min wage: </b>21.65<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Nova Scotia,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,23.24,47.36,94.59,53.75,2016 Census,2016,2022-11-16,<b>Max wage: </b>94.59<br><b>Median wage: </b>47.36<br><b>Min wage: </b>23.24<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Quebec,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,17.87,34.94,71.63,42.35,2016 Census,2016,2022-11-16,<b>Max wage: </b>71.63<br><b>Median wage: </b>34.94<br><b>Min wage: </b>17.87<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Quebec,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,17.54,39.31,71.73,42.55,2016 Census,2016,2022-11-16,<b>Max wage: </b>71.73<br><b>Median wage: </b>39.31<br><b>Min wage: </b>17.54<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Quebec,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,16.25,31.5,76.8,39.14,2016 Census,2016,2022-11-16,<b>Max wage: </b>76.8<br><b>Median wage: </b>31.5<br><b>Min wage: </b>16.25<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Quebec,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,20.92,34.12,62.45,37.92,2016 Census,2016,2022-11-16,<b>Max wage: </b>62.45<br><b>Median wage: </b>34.12<br><b>Min wage: </b>20.92<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Quebec,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,17.72,37.15,69.22,39.77,2016 Census,2016,2022-11-16,<b>Max wage: </b>69.22<br><b>Median wage: </b>37.15<br><b>Min wage: </b>17.72<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Quebec,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,17.25,37.74,82.37,52.33,2016 Census,2016,2022-11-16,<b>Max wage: </b>82.37<br><b>Median wage: </b>37.74<br><b>Min wage: </b>17.25<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Quebec,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,18.72,38.05,64.38,39.1,2016 Census,2016,2022-11-16,<b>Max wage: </b>64.38<br><b>Median wage: </b>38.05<br><b>Min wage: </b>18.72<br>
